# Oscilloscope file ./20170703_502515.bin
# Channel 2
Time / s;Voltage / V
0;0.32
0.025;0.36
0.05;0.36
0.075;0.36
0.1;0.32
0.125;0.32
0.15;0.32
0.175;0.4
0.2;0.32
0.225;0.32
0.25;0.36
0.275;0.36
0.3;0.32
0.325;0.36
0.35;0.36
0.375;0.36
0.4;0.32
0.425;0.32
0.45;0.36
0.475;0.36
0.5;0.32
0.525;0.36
0.55;0.36
0.575;0.36
0.6;0.32
0.625;0.36
0.65;0.32
0.675;0.36
0.7;0.32
0.725;0.36
0.75;0.32
0.775;0.36
0.8;0.32
0.825;0.36
0.85;0.36
0.875;0.36
0.9;0.32
0.925;0.32
0.95;0.32
0.975;0.36
1;0.32
1.025;0.32
1.05;0.32
1.075;0.36
1.1;0.32
1.125;0.32
1.15;0.32
1.175;0.36
1.2;0.28
1.225;0.28
1.25;0.28
1.275;0.44
1.3;0.28
1.325;0.4
1.35;0.44
1.375;0.44
1.4;0.24
1.425;0.24
1.45;0.28
1.475;0.44
1.5;0.28
1.525;0.36
1.55;0.36
1.575;0.36
1.6;0.28
1.625;0.32
1.65;0.36
1.675;0.4
1.7;0.36
1.725;0.36
1.75;0.36
1.775;0.4
1.8;0.28
1.825;0.4
1.85;0.4
1.875;0.4
1.9;0.32
1.925;0.32
1.95;0.24
1.975;0.4
2;0.24
2.025;0.4
2.05;0.36
2.075;0.4
2.1;0.28
2.125;0.32
2.15;0.32
2.175;0.4
2.2;0.32
2.225;0.36
2.25;0.36
2.275;0.36
2.3;0.28
2.325;0.32
2.35;0.32
2.375;0.4
2.4;0.32
2.425;0.32
2.45;0.32
2.475;0.36
2.5;0.28
2.525;0.36
2.55;0.36
2.575;0.36
2.6;0.32
2.625;0.32
2.65;0.32
2.675;0.36
2.7;0.32
2.725;0.36
2.75;0.36
2.775;0.36
2.8;0.28
2.825;0.32
2.85;0.32
2.875;0.36
2.9;0.32
2.925;0.36
2.95;0.32
2.975;0.32
3;0.32
3.025;0.32
3.05;0.36
3.075;0.36
3.1;0.32
3.125;0.32
3.15;0.32
3.175;0.36
3.2;0.32
3.225;0.36
3.25;0.36
3.275;0.36
3.3;0.32
3.325;0.32
3.35;0.36
3.375;0.36
3.4;0.32
3.425;0.32
3.45;0.36
3.475;0.36
3.5;0.32
3.525;0.32
3.55;0.36
3.575;0.36
3.6;0.32
3.625;0.32
3.65;0.32
3.675;0.36
3.7;0.28
3.725;0.36
3.75;0.36
3.775;0.36
3.8;0.32
3.825;0.32
3.85;0.32
3.875;0.36
3.9;0.32
3.925;0.36
3.95;0.32
3.975;0.36
4;0.32
4.025;0.32
4.05;0.36
4.075;0.36
4.1;0.32
4.125;0.32
4.15;0.36
4.175;0.36
4.2;0.32
4.225;0.32
4.25;0.32
4.275;0.36
4.3;0.32
4.325;0.32
4.35;0.32
4.375;0.36
4.4;0.32
4.425;0.32
4.45;0.36
4.475;0.36
4.5;0.32
4.525;0.32
4.55;0.36
4.575;0.36
4.6;0.32
4.625;0.36
4.65;0.36
4.675;0.36
4.7;0.32
4.725;0.36
4.75;0.36
4.775;0.36
4.8;0.32
4.825;0.32
4.85;0.36
4.875;0.36
4.9;0.32
4.925;0.36
4.95;0.36
4.975;0.36
5;0.32
5.025;0.36
5.05;0.32
5.075;0.36
5.1;0.32
5.125;0.36
5.15;0.32
5.175;0.36
5.2;0.32
5.225;0.36
5.25;0.32
5.275;0.36
5.3;0.32
5.325;0.36
5.35;0.32
5.375;0.36
5.4;0.32
5.425;0.36
5.45;0.36
5.475;0.36
5.5;0.32
5.525;0.32
5.55;0.32
5.575;0.36
5.6;0.32
5.625;0.36
5.65;0.36
5.675;0.36
5.7;0.32
5.725;0.32
5.75;0.36
5.775;0.36
5.8;0.32
5.825;0.36
5.85;0.32
5.875;0.36
5.9;0.32
5.925;0.32
5.95;0.36
5.975;0.36
6;0.32
6.025;0.36
6.05;0.36
6.075;0.36
6.1;0.32
6.125;0.36
6.15;0.36
6.175;0.36
6.2;0.32
6.225;0.36
6.25;0.36
6.275;0.4
6.3;0.32
6.325;0.36
6.35;0.32
6.375;0.36
6.4;0.32
6.425;0.36
6.45;0.36
6.475;0.36
6.5;0.32
6.525;0.36
6.55;0.32
6.575;0.36
6.6;0.32
6.625;0.36
6.65;0.36
6.675;0.36
6.7;0.32
6.725;0.32
6.75;0.36
6.775;0.36
6.8;0.32
6.825;0.32
6.85;0.36
6.875;0.36
