# Oscilloscope file ./20170703_501729.bin
# Channel 1
Time / s;Voltage / V
0;0.08
0.25;0.08
0.5;0.08
0.75;0.08
1;0.08
1.25;0.08
1.5;0.08
1.75;0.08
2;0
2.25;0.08
2.5;0.08
2.75;0.16
3;0.08
3.25;0.16
3.5;0.08
3.75;0.08
4;0.08
4.25;0.08
4.5;0.08
4.75;0.16
5;0.08
5.25;0.08
5.5;0.08
5.75;0.08
6;0.08
6.25;0.08
6.5;0.08
6.75;0.08
7;0.08
7.25;0.08
7.5;0.08
7.75;0.08
8;0.08
8.25;0.08
8.5;0.08
8.75;0.08
9;0.08
9.25;0.08
9.5;0.16
9.75;0.16
10;0.08
10.25;0.08
10.5;0.08
10.75;0.16
11;0.08
11.25;0.08
11.5;0.08
11.75;0.16
12;0.08
12.25;0.08
12.5;0.16
12.75;0.24
13;0.08
13.25;0.24
13.5;0.16
13.75;0.16
14;0.16
14.25;0.16
14.5;0.16
14.75;0.24
15;0.16
15.25;0.24
15.5;0.24
15.75;0.24
16;0.16
16.25;0.24
16.5;0.24
16.75;0.24
17;0.16
17.25;0.24
17.5;0.24
17.75;0.32
18;0.24
18.25;0.24
18.5;0.24
18.75;0.32
19;0.24
19.25;0.32
19.5;0.24
19.75;0.32
20;0.24
20.25;0.24
20.5;0.32
20.75;0.32
21;0.32
21.25;0.32
21.5;0.32
21.75;0.32
22;0.32
22.25;0.32
22.5;0.32
22.75;0.4
23;0.32
23.25;0.4
23.5;0.32
23.75;0.4
24;0.32
24.25;0.4
24.5;0.4
24.75;0.4
25;0.4
25.25;0.4
25.5;0.4
25.75;0.4
26;0.4
26.25;0.4
26.5;0.4
26.75;0.48
27;0.4
27.25;0.4
27.5;0.4
27.75;0.48
28;0.4
28.25;0.48
28.5;0.48
28.75;0.48
29;0.4
29.25;0.48
29.5;0.48
29.75;0.48
30;0.48
30.25;0.48
30.5;0.56
30.75;0.56
31;0.48
31.25;0.48
31.5;0.56
31.75;0.56
32;0.48
32.25;0.48
32.5;0.56
32.75;0.56
33;0.48
33.25;0.56
33.5;0.56
33.75;0.56
34;0.56
34.25;0.56
34.5;0.56
34.75;0.64
35;0.56
35.25;0.64
35.5;0.64
35.75;0.64
36;0.56
36.25;0.56
36.5;0.64
36.75;0.64
37;0.56
37.25;0.64
37.5;0.64
37.75;0.64
38;0.56
38.25;0.64
38.5;0.64
38.75;0.72
39;0.64
39.25;0.72
39.5;0.72
39.75;0.72
40;0.64
40.25;0.72
40.5;0.64
40.75;0.72
41;0.64
41.25;0.72
41.5;0.72
41.75;0.72
42;0.72
42.25;0.72
42.5;0.72
42.75;0.8
43;0.72
43.25;0.72
43.5;0.72
43.75;0.8
44;0.72
44.25;0.8
44.5;0.8
44.75;0.8
45;0.72
45.25;0.8
45.5;0.72
45.75;0.8
46;0.72
46.25;0.8
46.5;0.8
46.75;0.88
47;0.8
47.25;0.8
47.5;0.8
47.75;0.88
48;0.8
48.25;0.88
48.5;0.88
48.75;0.88
49;0.8
49.25;0.88
49.5;0.88
49.75;0.88
50;0.8
50.25;0.88
50.5;0.88
50.75;0.88
51;0.88
51.25;0.88
51.5;0.88
51.75;0.96
52;0.88
52.25;0.96
52.5;0.96
52.75;0.96
53;0.88
53.25;0.96
53.5;0.96
53.75;0.96
54;0.96
54.25;0.96
54.5;0.96
54.75;0.96
55;0.96
55.25;0.96
55.5;1.04
55.75;1.04
56;0.96
56.25;0.96
56.5;0.96
56.75;1.04
57;0.96
57.25;1.04
57.5;1.04
57.75;1.12
58;1.04
58.25;1.04
58.5;1.04
58.75;1.04
59;0.96
59.25;1.04
59.5;1.04
59.75;1.04
60;1.04
60.25;1.04
60.5;1.04
60.75;1.12
61;1.04
61.25;1.12
61.5;1.12
61.75;1.12
62;1.04
62.25;1.12
62.5;1.04
62.75;1.12
63;1.04
63.25;1.12
63.5;1.12
63.75;1.12
64;1.12
64.25;1.12
64.5;1.12
64.75;1.2
65;1.12
65.25;1.12
65.5;1.12
65.75;1.2
66;1.12
66.25;1.2
66.5;1.2
66.75;1.2
67;1.2
67.25;1.2
67.5;1.2
67.75;1.2
68;1.2
68.25;1.2
68.5;1.28
68.75;1.28
69;1.2
69.25;1.28
69.5;1.2
69.75;1.28
70;1.2
70.25;1.28
70.5;1.28
70.75;1.28
71;1.2
71.25;1.2
71.5;1.28
71.75;1.36
72;1.28
72.25;1.28
72.5;1.36
72.75;1.36
73;1.28
73.25;1.36
73.5;1.36
73.75;1.36
74;1.28
74.25;1.28
74.5;1.36
74.75;1.36
75;1.36
75.25;1.36
75.5;1.36
75.75;1.44
76;1.36
76.25;1.36
76.5;1.36
76.75;1.44
77;1.36
77.25;1.36
77.5;1.44
77.75;1.44
78;1.36
78.25;1.44
78.5;1.44
78.75;1.44
79;1.44
79.25;1.44
79.5;1.44
79.75;1.44
80;1.36
80.25;1.44
80.5;1.44
80.75;1.52
81;1.44
81.25;1.52
81.5;1.52
81.75;1.52
82;1.44
82.25;1.52
82.5;1.52
82.75;1.52
83;1.44
83.25;1.52
83.5;1.52
