# Oscilloscope file ./20170703_502104.bin
# Channel 2
Time / s;Voltage / V
0;0.36
0.025;0.4
0.05;0.36
0.075;0.4
0.1;0.36
0.125;0.36
0.15;0.36
0.175;0.4
0.2;0.36
0.225;0.36
0.25;0.36
0.275;0.36
0.3;0.32
0.325;0.36
0.35;0.36
0.375;0.36
0.4;0.36
0.425;0.36
0.45;0.36
0.475;0.4
0.5;0.32
0.525;0.4
0.55;0.36
0.575;0.4
0.6;0.36
0.625;0.36
0.65;0.36
0.675;0.36
0.7;0.36
0.725;0.36
0.75;0.36
0.775;0.36
0.8;0.28
0.825;0.28
0.85;0.32
0.875;0.44
0.9;0.32
0.925;0.4
0.95;0.4
0.975;0.4
1;0.24
1.025;0.32
1.05;0.36
1.075;0.4
1.1;0.36
1.125;0.36
1.15;0.32
1.175;0.4
1.2;0.28
1.225;0.4
1.25;0.36
1.275;0.4
1.3;0.32
1.325;0.32
1.35;0.32
1.375;0.44
1.4;0.28
1.425;0.44
1.45;0.4
1.475;0.4
1.5;0.32
1.525;0.32
1.55;0.32
1.575;0.4
1.6;0.32
1.625;0.36
1.65;0.36
1.675;0.36
1.7;0.28
1.725;0.32
1.75;0.36
1.775;0.4
1.8;0.32
1.825;0.32
1.85;0.36
1.875;0.36
1.9;0.28
1.925;0.32
1.95;0.4
1.975;0.4
2;0.32
2.025;0.32
2.05;0.32
2.075;0.4
2.1;0.32
2.125;0.36
2.15;0.36
2.175;0.36
2.2;0.32
2.225;0.32
2.25;0.32
2.275;0.4
2.3;0.32
2.325;0.4
2.35;0.36
2.375;0.36
2.4;0.32
2.425;0.36
2.45;0.36
2.475;0.36
2.5;0.32
2.525;0.32
2.55;0.32
2.575;0.36
2.6;0.32
2.625;0.36
2.65;0.36
2.675;0.36
2.7;0.32
2.725;0.32
2.75;0.36
2.775;0.36
2.8;0.32
2.825;0.36
2.85;0.32
2.875;0.36
2.9;0.32
2.925;0.32
2.95;0.32
2.975;0.36
3;0.32
3.025;0.32
3.05;0.32
3.075;0.36
3.1;0.32
3.125;0.32
3.15;0.36
3.175;0.36
3.2;0.32
3.225;0.32
3.25;0.32
3.275;0.36
3.3;0.32
3.325;0.36
3.35;0.32
3.375;0.36
3.4;0.32
3.425;0.32
3.45;0.32
3.475;0.36
3.5;0.32
3.525;0.32
3.55;0.32
3.575;0.36
3.6;0.32
3.625;0.36
3.65;0.36
3.675;0.36
3.7;0.32
3.725;0.36
3.75;0.32
3.775;0.36
3.8;0.32
3.825;0.36
3.85;0.36
3.875;0.36
3.9;0.32
3.925;0.32
3.95;0.32
3.975;0.36
4;0.32
4.025;0.36
4.05;0.32
4.075;0.36
4.1;0.32
4.125;0.32
4.15;0.36
4.175;0.36
4.2;0.32
4.225;0.32
4.25;0.36
4.275;0.36
4.3;0.32
4.325;0.36
4.35;0.32
4.375;0.36
4.4;0.32
4.425;0.32
4.45;0.32
4.475;0.36
4.5;0.32
4.525;0.36
4.55;0.36
4.575;0.36
4.6;0.32
4.625;0.36
4.65;0.32
4.675;0.36
4.7;0.32
4.725;0.36
4.75;0.32
4.775;0.36
4.8;0.32
4.825;0.32
4.85;0.32
4.875;0.36
4.9;0.32
4.925;0.36
4.95;0.36
4.975;0.36
5;0.32
5.025;0.36
5.05;0.36
5.075;0.36
5.1;0.32
5.125;0.32
5.15;0.36
5.175;0.36
5.2;0.32
5.225;0.32
5.25;0.36
5.275;0.36
5.3;0.32
5.325;0.32
5.35;0.32
5.375;0.36
5.4;0.32
5.425;0.36
5.45;0.36
5.475;0.36
5.5;0.32
5.525;0.32
5.55;0.32
5.575;0.36
5.6;0.32
5.625;0.36
5.65;0.32
5.675;0.36
5.7;0.32
5.725;0.36
5.75;0.36
5.775;0.36
5.8;0.32
5.825;0.36
5.85;0.32
5.875;0.36
5.9;0.32
5.925;0.32
5.95;0.32
5.975;0.36
6;0.32
6.025;0.32
6.05;0.36
6.075;0.36
6.1;0.32
6.125;0.32
6.15;0.36
6.175;0.36
6.2;0.32
6.225;0.32
6.25;0.36
6.275;0.36
6.3;0.32
6.325;0.32
6.35;0.32
6.375;0.36
6.4;0.32
6.425;0.32
6.45;0.36
6.475;0.36
6.5;0.32
6.525;0.36
6.55;0.36
6.575;0.36
6.6;0.32
6.625;0.36
6.65;0.36
6.675;0.36
6.7;0.32
6.725;0.32
6.75;0.32
6.775;0.36
6.8;0.32
6.825;0.32
6.85;0.32
6.875;0.36
6.9;0.32
6.925;0.36
6.95;0.36
6.975;0.36
7;0.32
7.025;0.32
7.05;0.36
7.075;0.36
7.1;0.32
7.125;0.32
7.15;0.32
7.175;0.36
7.2;0.32
7.225;0.36
7.25;0.32
7.275;0.36
7.3;0.32
7.325;0.32
7.35;0.32
7.375;0.36
7.4;0.32
7.425;0.32
7.45;0.36
7.475;0.36
7.5;0.32
7.525;0.36
7.55;0.36
7.575;0.36
7.6;0.36
7.625;0.36
7.65;0.36
7.675;0.36
7.7;0.32
7.725;0.32
7.75;0.32
7.775;0.36
7.8;0.32
7.825;0.36
7.85;0.32
7.875;0.36
7.9;0.32
7.925;0.32
7.95;0.32
7.975;0.36
8;0.32
8.025;0.36
8.05;0.36
8.075;0.36
8.1;0.32
8.125;0.36
8.15;0.32
8.175;0.36
8.2;0.32
8.225;0.32
8.25;0.36
8.275;0.36
8.3;0.32
8.325;0.32
8.35;0.36
8.375;0.36
8.4;0.32
8.425;0.32
8.45;0.36
8.475;0.36
8.5;0.32
8.525;0.36
8.55;0.36
8.575;0.36
8.6;0.32
8.625;0.32
8.65;0.32
8.675;0.36
8.7;0.32
8.725;0.36
8.75;0.32
8.775;0.36
8.8;0.32
8.825;0.36
8.85;0.32
8.875;0.36
8.9;0.28
8.925;0.36
8.95;0.32
8.975;0.36
9;0.32
9.025;0.36
9.05;0.32
9.075;0.36
9.1;0.32
9.125;0.36
9.15;0.32
9.175;0.36
9.2;0.32
9.225;0.32
9.25;0.36
9.275;0.36
9.3;0.32
9.325;0.36
9.35;0.36
9.375;0.36
9.4;0.32
9.425;0.36
9.45;0.36
9.475;0.36
9.5;0.32
9.525;0.32
9.55;0.36
9.575;0.36
9.6;0.32
9.625;0.32
9.65;0.32
9.675;0.36
9.7;0.32
9.725;0.32
9.75;0.32
9.775;0.36
9.8;0.32
9.825;0.36
9.85;0.32
9.875;0.36
9.9;0.32
9.925;0.36
9.95;0.32
9.975;0.36
10;0.32
10.025;0.36
10.05;0.36
10.075;0.36
10.1;0.32
10.125;0.36
10.15;0.32
10.175;0.36
10.2;0.32
10.225;0.36
10.25;0.32
10.275;0.36
10.3;0.32
10.325;0.36
10.35;0.32
10.375;0.36
10.4;0.32
10.425;0.32
10.45;0.36
10.475;0.36
10.5;0.32
10.525;0.32
10.55;0.36
10.575;0.36
10.6;0.32
10.625;0.32
10.65;0.32
10.675;0.36
10.7;0.32
10.725;0.36
10.75;0.32
10.775;0.36
10.8;0.32
10.825;0.36
10.85;0.32
10.875;0.36
10.9;0.32
10.925;0.36
10.95;0.36
10.975;0.36
11;0.32
11.025;0.36
11.05;0.36
11.075;0.36
11.1;0.32
11.125;0.36
11.15;0.32
11.175;0.36
11.2;0.32
11.225;0.36
11.25;0.36
11.275;0.36
11.3;0.36
11.325;0.36
11.35;0.36
11.375;0.36
11.4;0.32
11.425;0.32
11.45;0.32
11.475;0.36
11.5;0.32
11.525;0.32
11.55;0.36
11.575;0.36
11.6;0.32
11.625;0.36
11.65;0.36
11.675;0.36
11.7;0.32
11.725;0.32
11.75;0.36
11.775;0.36
11.8;0.32
11.825;0.36
11.85;0.36
11.875;0.36
11.9;0.32
11.925;0.36
11.95;0.36
11.975;0.36
12;0.32
12.025;0.36
12.05;0.36
12.075;0.36
12.1;0.32
12.125;0.32
12.15;0.32
12.175;0.36
12.2;0.32
12.225;0.32
12.25;0.32
12.275;0.36
12.3;0.32
12.325;0.36
12.35;0.36
12.375;0.36
12.4;0.32
12.425;0.36
12.45;0.36
12.475;0.36
12.5;0.36
12.525;0.36
12.55;0.36
12.575;0.36
12.6;0.32
12.625;0.36
12.65;0.36
12.675;0.36
12.7;0.32
12.725;0.32
12.75;0.36
12.775;0.36
12.8;0.32
12.825;0.32
12.85;0.36
12.875;0.36
12.9;0.32
12.925;0.32
12.95;0.36
12.975;0.36
13;0.32
13.025;0.36
13.05;0.32
13.075;0.36
13.1;0.32
13.125;0.32
13.15;0.32
13.175;0.36
13.2;0.32
13.225;0.36
13.25;0.32
13.275;0.36
13.3;0.32
13.325;0.36
13.35;0.32
13.375;0.36
13.4;0.32
13.425;0.36
13.45;0.36
13.475;0.36
13.5;0.32
13.525;0.36
13.55;0.32
13.575;0.36
13.6;0.32
13.625;0.36
13.65;0.36
13.675;0.44
13.7;0.36
13.725;0.4
13.75;0.44
13.775;0.6
13.8;0.44
13.825;0.6
13.85;0.64
13.875;0.84
13.9;0.64
13.925;0.84
13.95;0.88
13.975;1.08
14;0.88
14.025;1.08
14.05;1.12
14.075;1.28
14.1;1.12
14.125;1.28
14.15;1.28
14.175;1.32
14.2;1.28
14.225;1.32
14.25;1.32
14.275;1.32
14.3;1.28
14.325;1.28
14.35;1.28
14.375;1.28
14.4;1.2
14.425;1.24
14.45;1.2
14.475;1.24
14.5;1.12
14.525;1.12
14.55;1.12
14.575;1.12
14.6;1
14.625;1
14.65;1
14.675;1
14.7;0.84
14.725;0.84
14.75;0.84
14.775;0.84
14.8;0.56
14.825;0.56
14.85;0.52
14.875;0.52
14.9;0.36
14.925;0.36
14.95;0.36
14.975;0.36
15;0.32
15.025;0.32
15.05;0.36
15.075;0.36
15.1;0.32
15.125;0.32
15.15;0.36
15.175;0.36
15.2;0.32
15.225;0.36
15.25;0.36
15.275;0.36
15.3;0.32
15.325;0.36
15.35;0.32
15.375;0.36
15.4;0.32
15.425;0.36
15.45;0.32
15.475;0.36
15.5;0.32
15.525;0.36
15.55;0.36
15.575;0.36
15.6;0.32
15.625;0.36
15.65;0.36
15.675;0.36
15.7;0.32
15.725;0.36
15.75;0.36
15.775;0.36
15.8;0.32
15.825;0.36
15.85;0.36
15.875;0.44
15.9;0.36
15.925;0.4
15.95;0.44
15.975;0.48
16;0.44
16.025;0.48
16.05;0.48
16.075;0.56
16.1;0.48
16.125;0.56
16.15;0.6
16.175;0.6
16.2;0.56
16.225;0.56
16.25;0.56
16.275;0.6
16.3;0.56
16.325;0.6
16.35;0.6
16.375;0.6
16.4;0.56
16.425;0.6
16.45;0.56
16.475;0.6
16.5;0.52
16.525;0.56
16.55;0.56
16.575;0.56
16.6;0.52
16.625;0.52
16.65;0.52
16.675;0.52
16.7;0.48
16.725;0.48
16.75;0.52
16.775;0.52
16.8;0.44
16.825;0.44
16.85;0.44
16.875;0.44
16.9;0.4
16.925;0.4
16.95;0.4
16.975;0.4
17;0.36
17.025;0.4
17.05;0.4
17.075;0.4
17.1;0.4
17.125;0.4
17.15;0.44
17.175;0.44
17.2;0.4
17.225;0.44
17.25;0.44
17.275;0.44
17.3;0.4
17.325;0.44
17.35;0.44
17.375;0.44
17.4;0.4
17.425;0.4
17.45;0.4
17.475;0.44
17.5;0.4
17.525;0.44
17.55;0.4
17.575;0.44
17.6;0.36
17.625;0.4
17.65;0.4
17.675;0.44
17.7;0.4
17.725;0.44
17.75;0.4
17.775;0.44
17.8;0.36
17.825;0.4
17.85;0.36
17.875;0.44
17.9;0.36
17.925;0.44
17.95;0.4
17.975;0.48
18;0.4
18.025;0.48
18.05;0.48
18.075;0.56
18.1;0.48
18.125;0.56
18.15;0.6
18.175;0.68
18.2;0.6
18.225;0.64
18.25;0.68
18.275;0.72
18.3;0.68
18.325;0.68
18.35;0.72
18.375;0.72
18.4;0.68
18.425;0.72
18.45;0.72
18.475;0.72
18.5;0.68
18.525;0.68
18.55;0.68
18.575;0.68
18.6;0.64
18.625;0.64
18.65;0.64
18.675;0.64
18.7;0.6
18.725;0.6
18.75;0.6
18.775;0.64
18.8;0.56
18.825;0.56
18.85;0.56
18.875;0.56
18.9;0.48
18.925;0.52
18.95;0.48
18.975;0.48
19;0.36
19.025;0.36
19.05;0.36
19.075;0.36
19.1;0.32
19.125;0.32
19.15;0.32
19.175;0.36
19.2;0.32
19.225;0.32
19.25;0.36
19.275;0.36
19.3;0.32
19.325;0.32
19.35;0.32
19.375;0.36
19.4;0.32
19.425;0.32
19.45;0.36
19.475;0.36
19.5;0.32
19.525;0.36
19.55;0.32
19.575;0.36
19.6;0.32
19.625;0.32
19.65;0.32
19.675;0.36
19.7;0.32
19.725;0.36
19.75;0.32
19.775;0.36
19.8;0.32
19.825;0.36
19.85;0.36
19.875;0.4
19.9;0.32
19.925;0.36
19.95;0.32
19.975;0.36
20;0.32
20.025;0.36
20.05;0.36
20.075;0.4
20.1;0.36
20.125;0.4
20.15;0.36
20.175;0.4
20.2;0.36
20.225;0.4
20.25;0.36
20.275;0.4
20.3;0.36
20.325;0.36
20.35;0.36
20.375;0.4
20.4;0.36
20.425;0.4
20.45;0.4
20.475;0.4
20.5;0.36
20.525;0.36
20.55;0.4
20.575;0.44
20.6;0.36
20.625;0.36
20.65;0.4
20.675;0.4
20.7;0.36
20.725;0.36
20.75;0.36
20.775;0.4
20.8;0.36
20.825;0.4
20.85;0.36
20.875;0.4
20.9;0.36
20.925;0.36
20.95;0.36
20.975;0.36
21;0.32
21.025;0.36
21.05;0.36
21.075;0.36
21.1;0.32
21.125;0.36
21.15;0.32
21.175;0.36
21.2;0.32
21.225;0.36
21.25;0.32
21.275;0.36
21.3;0.32
21.325;0.32
21.35;0.32
21.375;0.36
21.4;0.32
21.425;0.32
21.45;0.36
21.475;0.36
21.5;0.32
21.525;0.32
21.55;0.36
21.575;0.36
21.6;0.32
21.625;0.32
21.65;0.36
21.675;0.36
21.7;0.32
21.725;0.36
21.75;0.36
21.775;0.36
21.8;0.32
21.825;0.36
21.85;0.32
21.875;0.4
21.9;0.32
21.925;0.36
21.95;0.32
21.975;0.4
22;0.32
22.025;0.32
22.05;0.36
22.075;0.36
22.1;0.32
22.125;0.36
22.15;0.32
22.175;0.36
22.2;0.32
22.225;0.36
22.25;0.36
22.275;0.36
22.3;0.32
22.325;0.36
22.35;0.32
22.375;0.36
22.4;0.32
22.425;0.36
22.45;0.36
22.475;0.36
22.5;0.32
22.525;0.32
22.55;0.36
22.575;0.36
22.6;0.32
22.625;0.32
22.65;0.36
22.675;0.36
22.7;0.32
22.725;0.32
22.75;0.32
22.775;0.36
22.8;0.32
22.825;0.32
22.85;0.32
22.875;0.36
22.9;0.32
22.925;0.32
22.95;0.32
22.975;0.36
23;0.32
23.025;0.32
23.05;0.32
23.075;0.36
23.1;0.32
23.125;0.36
23.15;0.36
23.175;0.36
23.2;0.32
23.225;0.36
23.25;0.32
23.275;0.36
23.3;0.32
23.325;0.36
23.35;0.36
23.375;0.36
23.4;0.32
23.425;0.32
23.45;0.36
23.475;0.36
23.5;0.32
23.525;0.36
23.55;0.36
23.575;0.36
23.6;0.32
23.625;0.36
23.65;0.36
23.675;0.36
23.7;0.32
23.725;0.32
23.75;0.36
23.775;0.36
23.8;0.32
23.825;0.32
23.85;0.36
23.875;0.36
23.9;0.32
23.925;0.32
23.95;0.32
23.975;0.36
24;0.32
24.025;0.36
24.05;0.36
24.075;0.36
24.1;0.32
24.125;0.32
24.15;0.32
24.175;0.36
24.2;0.32
24.225;0.36
24.25;0.36
24.275;0.36
24.3;0.32
24.325;0.36
24.35;0.32
24.375;0.4
24.4;0.32
24.425;0.36
24.45;0.36
24.475;0.36
24.5;0.32
24.525;0.36
24.55;0.32
24.575;0.36
24.6;0.32
24.625;0.32
24.65;0.32
24.675;0.36
24.7;0.32
24.725;0.36
24.75;0.36
24.775;0.36
24.8;0.32
24.825;0.32
24.85;0.36
24.875;0.36
24.9;0.32
24.925;0.32
24.95;0.36
24.975;0.36
25;0.32
25.025;0.32
25.05;0.36
25.075;0.36
25.1;0.32
25.125;0.32
25.15;0.36
25.175;0.36
25.2;0.32
25.225;0.36
25.25;0.32
25.275;0.36
25.3;0.32
25.325;0.32
25.35;0.36
25.375;0.36
25.4;0.32
25.425;0.36
25.45;0.32
25.475;0.36
25.5;0.32
25.525;0.36
25.55;0.32
25.575;0.36
25.6;0.32
25.625;0.36
25.65;0.36
25.675;0.36
25.7;0.32
25.725;0.36
25.75;0.32
25.775;0.36
25.8;0.28
25.825;0.32
25.85;0.36
25.875;0.36
25.9;0.32
25.925;0.32
25.95;0.32
25.975;0.36
26;0.32
26.025;0.32
26.05;0.36
26.075;0.36
26.1;0.32
26.125;0.36
26.15;0.36
26.175;0.36
26.2;0.32
26.225;0.36
26.25;0.32
26.275;0.36
26.3;0.32
26.325;0.36
26.35;0.32
26.375;0.36
26.4;0.32
26.425;0.32
26.45;0.32
26.475;0.36
26.5;0.32
26.525;0.36
26.55;0.32
26.575;0.36
26.6;0.32
26.625;0.32
26.65;0.36
26.675;0.36
26.7;0.32
26.725;0.36
26.75;0.36
26.775;0.36
26.8;0.32
26.825;0.32
26.85;0.32
26.875;0.36
26.9;0.32
26.925;0.36
26.95;0.36
26.975;0.36
27;0.32
27.025;0.32
27.05;0.36
27.075;0.36
27.1;0.32
27.125;0.32
27.15;0.36
27.175;0.36
27.2;0.32
27.225;0.32
27.25;0.32
27.275;0.36
27.3;0.32
27.325;0.36
27.35;0.36
27.375;0.36
27.4;0.32
27.425;0.36
27.45;0.32
27.475;0.36
27.5;0.32
27.525;0.36
27.55;0.36
27.575;0.4
27.6;0.36
27.625;0.36
27.65;0.36
27.675;0.4
27.7;0.36
27.725;0.4
27.75;0.36
27.775;0.4
27.8;0.36
27.825;0.4
27.85;0.4
27.875;0.4
27.9;0.4
27.925;0.4
27.95;0.4
27.975;0.44
28;0.4
28.025;0.44
28.05;0.4
28.075;0.52
28.1;0.4
28.125;0.52
28.15;0.56
28.175;1.16
28.2;0.56
28.225;1.16
28.25;1.28
28.275;3.56
28.3;1.28
28.325;3.56
28.35;3.96
28.375;9.12
