# Oscilloscope file ./20170703_491051.bin
# Channel 2
Time / s;Voltage / V
0;0.08
0.05;0.12
0.1;0.08
0.15;0.12
0.2;0.08
0.25;0.08
0.3;0.12
0.35;0.12
0.4;0.08
0.45;0.12
0.5;0.08
0.55;0.12
0.6;0.08
0.65;0.08
0.7;0.12
0.75;0.12
0.8;0.08
0.85;0.12
0.9;0.08
0.95;0.12
1;0.08
1.05;0.12
1.1;0.08
1.15;0.12
1.2;0.08
1.25;0.12
1.3;0.12
1.35;0.12
1.4;0.08
1.45;0.12
1.5;0.12
1.55;0.12
1.6;0.08
1.65;0.12
1.7;0.08
1.75;0.12
1.8;0.08
1.85;0.12
1.9;0.08
1.95;0.12
2;0.08
2.05;0.12
2.1;0.12
2.15;0.12
2.2;0.08
2.25;0.08
2.3;0.08
2.35;0.12
2.4;0.08
2.45;0.12
2.5;0.12
2.55;0.12
2.6;0.08
2.65;0.12
2.7;0.12
2.75;0.12
2.8;0.08
2.85;0.12
2.9;0.08
2.95;0.12
3;0.08
3.05;0.08
3.1;0.12
3.15;0.12
3.2;0.08
3.25;0.12
3.3;0.12
3.35;0.12
3.4;0.08
3.45;0.12
3.5;0.12
3.55;0.12
3.6;0.12
3.65;0.12
3.7;0.08
3.75;0.12
3.8;0.08
3.85;0.12
3.9;0.12
3.95;0.12
4;0.08
4.05;0.08
4.1;0.12
4.15;0.12
4.2;0.12
4.25;0.12
4.3;0.12
4.35;0.2
4.4;0.12
4.45;0.2
4.5;0.2
4.55;0.24
4.6;0.2
4.65;0.24
4.7;0.28
4.75;0.32
4.8;0.28
4.85;0.32
4.9;0.32
4.95;0.36
5;0.32
5.05;0.36
5.1;0.36
5.15;0.4
5.2;0.36
5.25;0.4
5.3;0.4
5.35;0.44
5.4;0.4
5.45;0.44
5.5;0.44
5.55;0.44
5.6;0.4
5.65;0.44
5.7;0.44
5.75;0.44
5.8;0.4
5.85;0.4
5.9;0.44
5.95;0.48
6;0.44
6.05;0.48
6.1;0.52
6.15;0.6
6.2;0.52
6.25;0.6
6.3;0.56
6.35;0.64
6.4;0.56
6.45;0.64
6.5;0.64
6.55;0.72
6.6;0.64
6.65;0.72
6.7;0.72
6.75;0.8
6.8;0.72
6.85;0.76
6.9;0.76
6.95;0.84
7;0.76
7.05;0.84
7.1;0.8
7.15;0.88
7.2;0.8
7.25;0.88
7.3;0.88
7.35;0.92
7.4;0.88
7.45;0.92
7.5;0.92
7.55;1
7.6;0.92
7.65;1
7.7;1
7.75;1.04
7.8;1
7.85;1.04
7.9;1
7.95;1.04
8;1
8.05;1.04
8.1;1.04
8.15;1.08
8.2;1.04
8.25;1.04
8.3;1.04
8.35;1.08
8.4;1.04
8.45;1.08
8.5;1.12
8.55;1.16
8.6;1.08
8.65;1.16
8.7;1.12
8.75;1.16
8.8;1.12
8.85;1.12
8.9;1.16
8.95;1.2
9;1.16
9.05;1.2
9.1;1.16
9.15;1.24
9.2;1.16
9.25;1.2
9.3;1.24
9.35;1.28
9.4;1.24
9.45;1.28
9.5;1.28
9.55;1.32
9.6;1.28
9.65;1.32
9.7;1.28
9.75;1.32
9.8;1.28
9.85;1.32
9.9;1.32
9.95;1.4
10;1.32
10.05;1.4
10.1;1.36
10.15;1.4
10.2;1.36
10.25;1.4
10.3;1.4
10.35;1.44
10.4;1.4
10.45;1.44
10.5;1.4
10.55;1.44
10.6;1.4
10.65;1.44
10.7;1.44
10.75;1.48
10.8;1.44
10.85;1.48
10.9;1.48
10.95;1.52
11;1.48
11.05;1.52
11.1;1.52
11.15;1.56
11.2;1.52
11.25;1.52
11.3;1.56
11.35;1.6
11.4;1.56
11.45;1.6
11.5;1.6
11.55;1.64
11.6;1.6
11.65;1.64
11.7;1.64
11.75;1.68
11.8;1.64
11.85;1.68
11.9;1.68
11.95;1.72
12;1.68
12.05;1.72
12.1;1.72
12.15;1.76
12.2;1.72
12.25;1.76
12.3;1.76
12.35;1.8
12.4;1.76
12.45;1.8
12.5;1.8
12.55;1.84
12.6;1.8
12.65;1.84
12.7;1.84
12.75;1.88
12.8;1.84
12.85;1.88
12.9;1.88
12.95;1.92
13;1.84
13.05;1.92
13.1;1.88
13.15;1.96
13.2;1.88
13.25;1.96
13.3;1.96
13.35;1.96
13.4;1.96
13.45;1.96
13.5;2
13.55;2.04
13.6;1.96
13.65;2.04
13.7;2.04
13.75;2.08
13.8;2.04
13.85;2.08
13.9;2.08
13.95;2.12
14;2.08
14.05;2.12
14.1;2.16
14.15;2.2
14.2;2.16
14.25;2.2
14.3;2.2
14.35;2.28
14.4;2.2
14.45;2.28
14.5;2.28
14.55;2.36
14.6;2.28
14.65;2.36
14.7;2.36
14.75;2.44
14.8;2.36
14.85;2.44
14.9;2.44
14.95;2.48
15;2.44
15.05;2.48
15.1;2.48
15.15;2.52
15.2;2.48
15.25;2.52
15.3;2.52
15.35;2.52
15.4;2.48
15.45;2.52
15.5;2.52
15.55;2.52
15.6;2.48
15.65;2.52
15.7;2.52
15.75;2.56
15.8;2.52
15.85;2.56
15.9;2.6
15.95;2.68
16;2.6
16.05;2.64
16.1;2.68
16.15;2.76
16.2;2.68
16.25;2.76
16.3;2.76
16.35;2.88
16.4;2.76
16.45;2.88
16.5;2.88
16.55;2.92
16.6;2.84
16.65;2.92
16.7;2.96
16.75;3.04
16.8;2.96
16.85;3.04
16.9;3.04
16.95;3.12
17;3.04
17.05;3.12
17.1;3.12
17.15;3.2
17.2;3.12
17.25;3.2
17.3;3.2
17.35;3.24
17.4;3.2
17.45;3.24
17.5;3.24
17.55;3.28
17.6;3.24
17.65;3.28
17.7;3.28
17.75;3.32
17.8;3.28
17.85;3.32
17.9;3.32
17.95;3.32
18;3.28
18.05;3.28
18.1;3.28
18.15;3.32
18.2;3.28
18.25;3.28
18.3;3.32
18.35;3.32
18.4;3.28
18.45;3.28
18.5;3.28
18.55;3.28
18.6;3.28
18.65;3.28
18.7;3.28
18.75;3.28
18.8;3.24
18.85;3.24
18.9;3.24
18.95;3.24
19;3.2
19.05;3.2
19.1;3.2
19.15;3.2
19.2;3.16
19.25;3.2
19.3;3.16
19.35;3.16
19.4;3.12
19.45;3.12
19.5;3.12
19.55;3.12
19.6;3.04
19.65;3.04
19.7;3.08
19.75;3.08
19.8;3
19.85;3.04
19.9;3
19.95;3
20;2.96
20.05;2.96
20.1;2.96
20.15;2.96
20.2;2.92
20.25;2.92
20.3;2.92
20.35;2.92
20.4;2.88
20.45;2.92
20.5;2.92
20.55;2.92
20.6;2.88
20.65;2.88
20.7;2.88
20.75;2.88
20.8;2.84
20.85;2.84
20.9;2.84
20.95;2.84
21;2.8
21.05;2.8
21.1;2.76
21.15;2.8
21.2;2.72
21.25;2.72
21.3;2.72
21.35;2.72
21.4;2.64
21.45;2.64
21.5;2.64
21.55;2.64
21.6;2.56
21.65;2.6
21.7;2.56
21.75;2.56
21.8;2.52
21.85;2.52
21.9;2.52
21.95;2.52
22;2.44
22.05;2.48
22.1;2.44
22.15;2.48
22.2;2.4
22.25;2.44
22.3;2.4
22.35;2.4
22.4;2.36
22.45;2.36
22.5;2.32
22.55;2.36
22.6;2.28
22.65;2.32
22.7;2.32
22.75;2.32
22.8;2.24
22.85;2.24
22.9;2.24
22.95;2.24
23;2.24
23.05;2.24
23.1;2.2
23.15;2.2
23.2;2.2
23.25;2.2
23.3;2.2
23.35;2.2
23.4;2.16
23.45;2.16
23.5;2.12
23.55;2.16
23.6;2.12
23.65;2.12
23.7;2.12
23.75;2.12
23.8;2.08
23.85;2.08
23.9;2.08
23.95;2.08
24;2.04
24.05;2.04
24.1;2.04
24.15;2.08
24.2;2
24.25;2.04
24.3;2
24.35;2
24.4;2
24.45;2
24.5;2
24.55;2
24.6;1.96
24.65;1.96
24.7;1.96
24.75;1.96
24.8;1.96
24.85;1.96
24.9;1.92
24.95;1.96
25;1.92
25.05;1.92
25.1;1.96
25.15;1.96
25.2;1.88
25.25;1.92
