# Oscilloscope file ./20170703_501705.bin
# Channel 2
Time / s;Voltage / V
0;0.1
0.25;0.1
0.5;0.1
0.75;0.1
1;0.1
1.25;0.1
1.5;0.1
1.75;0.1
2;0.1
2.25;0.1
2.5;0.1
2.75;0.12
3;0.1
3.25;0.1
3.5;0.1
3.75;0.1
4;0.1
4.25;0.1
4.5;0.1
4.75;0.1
5;0.1
5.25;0.1
5.5;0.1
5.75;0.12
6;0.08
6.25;0.1
6.5;0.1
6.75;0.1
7;0.1
7.25;0.1
7.5;0.1
7.75;0.1
8;0.1
8.25;0.1
8.5;0.1
8.75;0.12
9;0.1
9.25;0.1
9.5;0.1
9.75;0.1
10;0.08
10.25;0.1
10.5;0.1
10.75;0.1
11;0.1
11.25;0.1
11.5;0.1
11.75;0.1
12;0.08
12.25;0.1
12.5;0.08
12.75;0.1
13;0.08
13.25;0.1
13.5;0.08
13.75;0.1
14;0.08
14.25;0.1
14.5;0.1
14.75;0.1
15;0.08
15.25;0.1
15.5;0.1
15.75;0.1
16;0.08
16.25;0.1
16.5;0.1
16.75;0.1
17;0.08
17.25;0.08
17.5;0.1
17.75;0.1
18;0.08
18.25;0.1
18.5;0.08
18.75;0.1
19;0.08
19.25;0.1
19.5;0.08
19.75;0.1
20;0.08
20.25;0.1
20.5;0.1
20.75;0.1
21;0.08
21.25;0.08
21.5;0.1
21.75;0.1
22;0.08
22.25;0.08
22.5;0.08
22.75;0.1
23;0.08
23.25;0.08
23.5;0.1
23.75;0.1
24;0.1
24.25;0.1
24.5;0.1
24.75;0.1
25;0.08
25.25;0.1
25.5;0.1
25.75;0.1
26;0.08
26.25;0.1
26.5;0.1
26.75;0.1
27;0.08
27.25;0.1
27.5;0.08
27.75;0.1
28;0.08
28.25;0.1
28.5;0.1
28.75;0.1
29;0.08
29.25;0.08
29.5;0.08
29.75;0.1
30;0.08
30.25;0.08
30.5;0.1
30.75;0.1
31;0.08
31.25;0.1
31.5;0.1
31.75;0.1
32;0.08
32.25;0.1
32.5;0.08
32.75;0.1
33;0.08
33.25;0.1
33.5;0.08
33.75;0.1
34;0.08
34.25;0.08
34.5;0.08
34.75;0.1
35;0.08
35.25;0.08
35.5;0.1
35.75;0.1
36;0.08
36.25;0.08
36.5;0.08
36.75;0.1
37;0.08
37.25;0.1
37.5;0.1
37.75;0.1
38;0.08
38.25;0.1
38.5;0.08
38.75;0.1
39;0.08
39.25;0.1
39.5;0.1
39.75;0.12
40;0.1
40.25;0.1
40.5;0.08
40.75;0.1
41;0.08
41.25;0.1
41.5;0.1
41.75;0.1
42;0.08
42.25;0.1
42.5;0.08
42.75;0.1
43;0.08
43.25;0.1
43.5;0.1
43.75;0.1
44;0.08
44.25;0.08
44.5;0.1
44.75;0.1
45;0.08
45.25;0.08
45.5;0.1
45.75;0.1
46;0.08
46.25;0.1
46.5;0.1
46.75;0.1
47;0.08
47.25;0.08
47.5;0.08
47.75;0.1
48;0.08
48.25;0.1
48.5;0.1
48.75;0.1
49;0.08
49.25;0.1
49.5;0.1
49.75;0.1
50;0.08
50.25;0.1
50.5;0.08
50.75;0.1
51;0.08
51.25;0.1
51.5;0.1
51.75;0.1
52;0.08
52.25;0.08
52.5;0.1
52.75;0.1
53;0.08
53.25;0.1
53.5;0.1
53.75;0.1
54;0.08
54.25;0.1
54.5;0.1
54.75;0.1
55;0.08
55.25;0.08
55.5;0.1
55.75;0.1
56;0.08
56.25;0.08
56.5;0.08
56.75;0.1
57;0.08
57.25;0.1
57.5;0.1
57.75;0.1
58;0.08
58.25;0.08
58.5;0.1
58.75;0.1
59;0.1
59.25;0.1
59.5;0.1
59.75;0.1
60;0.08
60.25;0.08
60.5;0.1
60.75;0.1
61;0.08
61.25;0.1
61.5;0.08
61.75;0.1
62;0.08
62.25;0.1
62.5;0.1
62.75;0.1
63;0.08
63.25;0.08
63.5;0.1
63.75;0.1
64;0.08
64.25;0.08
64.5;0.1
64.75;0.14
65;0.1
65.25;0.1
65.5;0.08
65.75;0.1
66;0.08
66.25;0.1
66.5;0.1
66.75;0.1
67;0.08
67.25;0.1
67.5;0.08
67.75;0.1
68;0.08
68.25;0.08
68.5;0.1
68.75;0.1
69;0.08
69.25;0.1
69.5;0.08
69.75;0.1
70;0.08
70.25;0.08
70.5;0.1
70.75;0.1
71;0.08
71.25;0.1
71.5;0.08
71.75;0.1
72;0.08
72.25;0.1
72.5;0.1
72.75;0.1
73;0.08
73.25;0.1
73.5;0.1
73.75;0.1
74;0.08
74.25;0.1
74.5;0.1
74.75;0.1
75;0.08
75.25;0.1
75.5;0.1
75.75;0.1
76;0.08
76.25;0.1
76.5;0.1
76.75;0.1
77;0.08
77.25;0.1
77.5;0.1
77.75;0.1
78;0.08
78.25;0.1
78.5;0.1
78.75;0.1
79;0.08
79.25;0.1
79.5;0.08
79.75;0.1
80;0.08
80.25;0.1
80.5;0.08
80.75;0.1
81;0.08
81.25;0.08
81.5;0.1
81.75;0.1
82;0.08
82.25;0.08
82.5;0.1
82.75;0.1
83;0.08
83.25;0.08
83.5;0.1
83.75;0.1
84;0.08
84.25;0.1
84.5;0.1
84.75;0.1
85;0.08
85.25;0.1
85.5;0.08
85.75;0.1
86;0.08
86.25;0.1
86.5;0.1
86.75;0.1
87;0.08
87.25;0.1
87.5;0.08
87.75;0.1
88;0.08
88.25;0.08
88.5;0.1
88.75;0.1
89;0.08
89.25;0.1
89.5;0.1
89.75;0.1
90;0.08
90.25;0.1
90.5;0.08
90.75;0.1
91;0.08
91.25;0.08
91.5;0.08
91.75;0.1
92;0.08
92.25;0.08
92.5;0.08
92.75;0.1
93;0.08
93.25;0.1
93.5;0.1
93.75;0.1
94;0.08
94.25;0.1
94.5;0.08
94.75;0.1
95;0.08
95.25;0.08
95.5;0.08
95.75;0.1
96;0.08
96.25;0.08
96.5;0.1
96.75;0.1
97;0.08
97.25;0.1
97.5;0.1
97.75;0.1
98;0.08
98.25;0.1
98.5;0.1
98.75;0.1
99;0.08
99.25;0.08
99.5;0.08
99.75;0.1
100;0.08
100.25;0.08
100.5;0.1
100.75;0.1
101;0.08
101.25;0.08
101.5;0.08
101.75;0.1
102;0.08
102.25;0.1
102.5;0.1
102.75;0.1
103;0.08
103.25;0.08
103.5;0.1
103.75;0.1
104;0.08
104.25;0.08
104.5;0.1
104.75;0.1
105;0.08
105.25;0.1
105.5;0.1
105.75;0.1
106;0.08
106.25;0.08
106.5;0.1
106.75;0.1
107;0.08
107.25;0.1
107.5;0.08
107.75;0.1
108;0.08
108.25;0.1
108.5;0.1
108.75;0.1
109;0.08
109.25;0.1
109.5;0.08
109.75;0.1
110;0.08
110.25;0.1
110.5;0.08
110.75;0.1
111;0.08
111.25;0.1
111.5;0.08
111.75;0.1
112;0.08
112.25;0.1
112.5;0.1
112.75;0.1
113;0.08
113.25;0.1
