# Oscilloscope file ./20170703_483349.bin
# Channel 2
Time / s;Voltage / V
0;-0.48
0.25;-0.44
0.5;-0.44
0.75;-0.4
1;-0.44
1.25;-0.4
1.5;-0.44
1.75;-0.36
2;-0.52
2.25;-0.36
2.5;-0.4
2.75;-0.36
3;-0.44
3.25;-0.44
3.5;-0.44
3.75;-0.4
4;-0.44
4.25;-0.44
4.5;-0.44
4.75;-0.4
5;-0.44
5.25;-0.44
5.5;-0.4
5.75;-0.4
6;-0.44
6.25;-0.4
6.5;-0.36
6.75;-0.28
7;-0.4
7.25;-0.28
7.5;-0.24
7.75;-0.04
8;-0.24
8.25;-0.04
8.5;-0.04
8.75;0.04
9;-0.04
9.25;0
9.5;0
9.75;0
10;-0.4
10.25;-0.4
10.5;-0.44
10.75;-0.44
11;-0.48
11.25;-0.44
11.5;-0.44
11.75;-0.4
12;-0.48
12.25;-0.48
12.5;-0.48
12.75;-0.4
13;-0.48
13.25;-0.44
13.5;-0.4
13.75;-0.28
14;-0.4
14.25;-0.28
14.5;-0.2
14.75;0
15;-0.2
15.25;-0.04
15.5;0
15.75;0.12
16;0
16.25;0.12
16.5;0.08
16.75;0.28
17;0.08
17.25;0.28
17.5;0.32
17.75;0.44
18;0.32
18.25;0.4
18.5;0.36
18.75;0.36
19;0.12
19.25;0.12
19.5;0.08
19.75;0.08
20;-0.44
20.25;-0.44
20.5;-0.44
20.75;-0.44
21;-0.48
21.25;-0.48
21.5;-0.48
21.75;-0.44
22;-0.48
22.25;-0.44
22.5;-0.48
22.75;-0.44
23;-0.48
23.25;-0.44
23.5;-0.44
23.75;-0.4
24;-0.44
24.25;-0.44
24.5;-0.44
24.75;-0.44
25;-0.52
25.25;-0.48
25.5;-0.48
25.75;-0.4
26;-0.48
26.25;-0.44
26.5;-0.52
26.75;-0.4
27;-0.52
27.25;-0.48
27.5;-0.48
27.75;-0.4
28;-0.48
28.25;-0.48
28.5;-0.48
28.75;-0.44
29;-0.48
29.25;-0.48
29.5;-0.48
29.75;-0.44
30;-0.48
30.25;-0.48
30.5;-0.52
30.75;-0.44
31;-0.52
31.25;-0.44
31.5;-0.48
31.75;-0.36
32;-0.48
32.25;-0.4
32.5;-0.4
32.75;-0.4
33;-0.48
33.25;-0.48
33.5;-0.52
33.75;-0.4
34;-0.52
