# Oscilloscope file ./20170703_491745.bin
# Channel 2
Time / s;Voltage / V
0;0.34
0.05;0.32
0.1;0.34
0.15;0.34
0.2;0.34
0.25;0.32
0.3;0.32
0.35;0.34
0.4;0.34
0.45;0.32
0.5;0.34
0.55;0.34
0.6;0.34
0.65;0.32
0.7;0.34
0.75;0.34
0.8;0.34
0.85;0.32
0.9;0.34
0.95;0.34
1;0.34
1.05;0.32
1.1;0.32
1.15;0.34
1.2;0.34
1.25;0.32
1.3;0.34
1.35;0.34
1.4;0.34
1.45;0.32
1.5;0.34
1.55;0.34
1.6;0.34
1.65;0.34
1.7;0.34
1.75;0.34
1.8;0.34
1.85;0.34
1.9;0.34
1.95;0.34
2;0.34
2.05;0.32
2.1;0.32
2.15;0.34
2.2;0.34
2.25;0.32
2.3;0.32
2.35;0.34
2.4;0.34
2.45;0.32
2.5;0.34
2.55;0.34
2.6;0.34
2.65;0.32
2.7;0.34
2.75;0.34
2.8;0.34
2.85;0.32
2.9;0.34
2.95;0.34
3;0.34
3.05;0.34
3.1;0.34
3.15;0.34
3.2;0.34
3.25;0.32
3.3;0.34
3.35;0.34
3.4;0.34
3.45;0.32
3.5;0.34
3.55;0.32
3.6;0.34
3.65;0.32
3.7;0.32
3.75;0.32
3.8;0.34
3.85;0.32
3.9;0.32
3.95;0.34
4;0.34
4.05;0.32
4.1;0.32
4.15;0.34
4.2;0.34
4.25;0.32
4.3;0.34
4.35;0.34
4.4;0.34
4.45;0.32
4.5;0.34
4.55;0.34
4.6;0.34
4.65;0.32
4.7;0.34
4.75;0.34
4.8;0.34
4.85;0.32
4.9;0.34
4.95;0.32
5;0.34
5.05;0.32
5.1;0.32
5.15;0.34
5.2;0.34
5.25;0.34
5.3;0.34
5.35;0.34
5.4;0.34
5.45;0.34
5.5;0.34
5.55;0.34
5.6;0.34
5.65;0.32
5.7;0.34
5.75;0.34
5.8;0.34
5.85;0.32
5.9;0.34
5.95;0.32
6;0.34
6.05;0.32
6.1;0.34
6.15;0.34
6.2;0.34
6.25;0.34
6.3;0.34
6.35;0.34
6.4;0.34
6.45;0.34
6.5;0.34
6.55;0.34
6.6;0.34
6.65;0.32
6.7;0.34
6.75;0.34
6.8;0.34
6.85;0.32
6.9;0.34
6.95;0.34
7;0.34
7.05;0.32
7.1;0.32
7.15;0.34
7.2;0.34
7.25;0.32
7.3;0.34
7.35;0.34
7.4;0.34
7.45;0.32
7.5;0.32
7.55;0.34
7.6;0.34
7.65;0.32
7.7;0.32
7.75;0.32
7.8;0.34
7.85;0.32
7.9;0.34
7.95;0.34
8;0.34
8.05;0.32
8.1;0.34
8.15;0.34
8.2;0.34
8.25;0.32
8.3;0.34
8.35;0.34
8.4;0.34
8.45;0.32
8.5;0.34
8.55;0.32
8.6;0.34
8.65;0.32
8.7;0.34
8.75;0.32
8.8;0.34
8.85;0.32
8.9;0.34
8.95;0.34
9;0.34
9.05;0.32
9.1;0.32
9.15;0.32
9.2;0.34
9.25;0.32
9.3;0.32
9.35;0.34
9.4;0.34
9.45;0.32
9.5;0.32
9.55;0.32
9.6;0.34
9.65;0.32
9.7;0.32
9.75;0.34
9.8;0.34
9.85;0.32
9.9;0.34
9.95;0.34
10;0.34
10.05;0.32
10.1;0.32
10.15;0.32
10.2;0.34
10.25;0.32
10.3;0.32
10.35;0.34
10.4;0.34
10.45;0.32
10.5;0.32
10.55;0.34
10.6;0.34
10.65;0.32
10.7;0.32
10.75;0.36
10.8;0.36
10.85;0.32
10.9;0.34
10.95;0.34
11;0.34
11.05;0.32
11.1;0.34
11.15;0.32
11.2;0.34
11.25;0.32
11.3;0.32
11.35;0.32
11.4;0.34
11.45;0.32
11.5;0.34
11.55;0.34
11.6;0.34
11.65;0.34
11.7;0.34
11.75;0.32
11.8;0.34
11.85;0.32
11.9;0.34
11.95;0.32
12;0.34
12.05;0.32
12.1;0.32
12.15;0.34
12.2;0.34
12.25;0.32
12.3;0.34
12.35;0.32
12.4;0.34
12.45;0.32
12.5;0.34
12.55;0.34
12.6;0.34
12.65;0.32
12.7;0.34
12.75;0.32
12.8;0.36
12.85;0.32
12.9;0.34
12.95;0.34
13;0.34
13.05;0.34
13.1;0.34
13.15;0.34
13.2;0.34
13.25;0.34
13.3;0.34
13.35;0.34
13.4;0.34
13.45;0.32
13.5;0.32
13.55;0.34
13.6;0.34
13.65;0.32
13.7;0.34
13.75;0.32
13.8;0.34
13.85;0.32
13.9;0.34
13.95;0.34
14;0.34
14.05;0.32
14.1;0.34
14.15;0.32
14.2;0.34
14.25;0.32
14.3;0.34
14.35;0.34
14.4;0.34
14.45;0.32
14.5;0.32
14.55;0.32
14.6;0.34
14.65;0.32
14.7;0.34
14.75;0.34
14.8;0.34
14.85;0.34
14.9;0.34
14.95;0.34
15;0.34
15.05;0.32
15.1;0.32
15.15;0.34
15.2;0.34
15.25;0.32
15.3;0.34
15.35;0.34
15.4;0.34
15.45;0.32
15.5;0.34
15.55;0.32
15.6;0.34
15.65;0.32
