5.785621829815457140e-01	1.739692274842700837e+00
1.157124365963091428e+00	3.460531066773045783e+00
1.735686548944637142e+00	5.129657672828976445e+00
2.314248731926182856e+00	6.741906529289827255e+00
2.892810914907728126e+00	8.254972949482356270e+00
3.471373097889274284e+00	9.648809645285847836e+00
4.049935280870820442e+00	1.093294192562598255e+01
4.628497463852365712e+00	1.204505630021880869e+01
5.207059646833911870e+00	1.298503495933981533e+01
5.785621829815456252e+00	1.373969656561270369e+01
6.364184012797002410e+00	1.430170864178399803e+01
6.942746195778548568e+00	1.461842045117401767e+01
